,Time,Open,High,Low,Close,vwap,Volume,count,EMA200,Hammer,MorningStar,EveningStar,ShootingStar,MACD,MACDSignal,MACDHistory,Signal
0,1717970280,69715.6,69728.3,69715.6,69728.3,69724.5,0.02421643,8,,0,0,0,0,,,,0
1,1717970340,69739.3,69742.9,69736.7,69739.7,69739.0,0.00847350,5,,0,0,0,0,,,,0
2,1717970400,69739.7,69770.6,69712.8,69718.3,69717.3,0.11160806,17,,0,0,0,0,,,,0
3,1717970460,69718.3,69718.4,69718.3,69718.4,69718.3,0.00352243,9,,0,0,0,0,,,,0
4,1717970520,69721.7,69722.5,69721.6,69722.5,69721.6,0.00649029,6,,0,0,0,0,,,,0
5,1717970580,69722.8,69735.6,69722.8,69735.6,69734.6,0.00180836,3,,0,0,0,0,,,,0
6,1717970640,69740.2,69740.2,69740.2,69740.2,69740.2,0.00018483,2,,0,0,0,0,,,,0
7,1717970700,69740.2,69740.2,69740.1,69740.2,69740.1,0.00496864,7,,0,0,0,0,,,,0
8,1717970760,69740.2,69740.2,69683.6,69683.6,69711.0,0.16378841,13,,0,0,0,0,,,,0
9,1717970820,69682.1,69687.1,69682.1,69687.1,69682.1,0.04800792,11,,0,0,0,0,,,,0
10,1717970880,69687.2,69698.1,69687.2,69698.1,69696.8,0.11299726,10,,0,0,0,0,,,,0
11,1717970940,69698.1,69705.1,69698.1,69705.0,69700.9,0.00359006,5,,0,0,0,0,,,,0
12,1717971000,69705.1,69728.2,69705.1,69727.1,69723.0,0.50167892,37,,0,0,0,0,,,,0
13,1717971060,69738.2,69753.8,69738.2,69753.8,69751.4,0.00204451,4,,0,0,0,0,,,,0
14,1717971120,69753.7,69753.7,69738.1,69738.1,69744.5,0.00490789,13,,0,0,0,0,,,,0
15,1717971180,69738.2,69738.2,69708.0,69708.0,69713.9,0.02032034,17,,0,0,0,0,,,,0
16,1717971240,69708.1,69708.1,69708.1,69708.1,69708.1,0.00042296,1,,0,0,0,0,,,,0
17,1717971300,69708.1,69708.1,69708.1,69708.1,69708.1,0.00021200,1,,0,0,0,0,,,,0
18,1717971360,69708.1,69708.1,69708.0,69708.0,69708.0,0.00163455,4,,0,0,0,0,,,,0
19,1717971420,69708.1,69708.8,69708.1,69708.7,69708.5,0.01500270,8,,0,0,0,0,,,,0
20,1717971480,69708.7,69708.7,69705.0,69705.0,69707.4,0.01269582,7,,0,0,0,0,,,,0
21,1717971540,69705.1,69705.1,69705.0,69705.1,69705.0,0.00325916,7,,100,0,0,0,,,,0
22,1717971600,69705.1,69705.1,69700.1,69700.1,69703.9,0.01371381,11,,0,0,0,0,,,,0
23,1717971660,69700.0,69700.0,69700.0,69700.0,69700.0,0.00025800,1,,0,0,0,0,,,,0
24,1717971720,69700.0,69700.1,69700.0,69700.1,69700.0,0.02244370,3,,0,0,0,0,,,,0
25,1717971780,69700.0,69700.1,69700.0,69700.1,69700.0,0.00508578,4,,0,0,0,0,,,,0
26,1717971840,69700.1,69700.1,69700.1,69700.1,69700.1,0.05633858,2,,0,0,0,0,,,,0
27,1717971900,69700.1,69700.1,69700.1,69700.1,0.0,0.00000000,0,,0,0,0,0,,,,0
28,1717971960,69700.1,69700.1,69700.0,69700.0,69700.0,0.24988149,5,,0,0,0,0,,,,0
29,1717972020,69687.2,69687.2,69687.1,69687.1,69687.1,0.03561888,6,,0,0,0,0,,,,0
30,1717972080,69687.1,69687.2,69687.1,69687.2,69687.1,0.00912969,3,,0,0,0,0,,,,0
31,1717972140,69687.2,69687.2,69687.1,69687.1,69687.1,1.46702363,10,,0,0,0,0,,,,0
32,1717972200,69683.7,69683.7,69675.1,69675.1,69683.6,0.03011174,17,,0,0,0,0,,,,0
